,Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special,year
3810,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],Anne Hilarion de Tourville,56 ships[4],75 ships[3],L,V,,,,75,,,1690
3811,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],"François Louis de Rousselet, Marquis de Châteaurenault",56 ships[4],75 ships[3],L,V,,,,75,,,1690
3812,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],Victor-Marie d'Estrées,56 ships[4],75 ships[3],L,V,,,,75,,,1690
3813,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],"Arthur Herbert, 1st Earl of Torrington",75 ships[3],56 ships[4],R,D,,,,56,,,1690
3814,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],Cornelis Evertsen the Youngest,75 ships[3],56 ships[4],R,D,,,,56,,,1690
3815,Battle_of_Beachy_Head_(1690),10 July 1690[1],"off Beachy Head, English Channel
50°44′15″N 0°14′52″E﻿ / ﻿50.73743°N 0.24768°E﻿ / 50.73743; 0.24768",French victory[2],Ralph Delaval,75 ships[3],56 ships[4],R,D,,,,56,,,1690
3816,Battle_of_Bean's_Station,"December 14, 1863 (1863-12-14)[1]","Grainger County, Tennessee[2]",Confederate victory,John Parke,Unknown,"4,000",L,D,4000,,,,,,1863
3817,Battle_of_Bean's_Station,"December 14, 1863 (1863-12-14)[1]","Grainger County, Tennessee[2]",Confederate victory,James M. Shackelford,Unknown,"4,000",L,D,4000,,,,,,1863
3818,Battle_of_Bean's_Station,"December 14, 1863 (1863-12-14)[1]","Grainger County, Tennessee[2]",Confederate victory,James Longstreet,"4,000",Unknown,R,V,1,,,,,,1863
3819,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Nelson A. Miles,"700
<200 warriors",520,L,V,520,,,,,,1877
3820,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Oliver Otis Howard,"700
<200 warriors",520,L,V,520,,,,,,1877
3821,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Chief Joseph,520,"700
<200 warriors",R,D,200,,,,,,1877
3822,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Looking Glass (Native American leader),520,"700
<200 warriors",R,D,200,,,,,,1877
3823,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Ollokot,520,"700
<200 warriors",R,D,200,,,,,,1877
3824,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,White Bird (Native American leader),520,"700
<200 warriors",R,D,200,,,,,,1877
3825,Battle_of_Bear_Paw,"September 30-October 5, 1877","Blaine County, Montana",United States decisive victory,Toohoolhoolzote,520,"700
<200 warriors",R,D,200,,,,,,1877
3826,Battle_of_Beauport,31 July 1759,"Beauport, Canada, New France
Coordinates: 46°53′25″N 71°08′50″W﻿ / ﻿46.890188°N 71.147268°W﻿ / 46.890188; -71.147268",French victory,Louis-Joseph de Montcalm,"4,000 regulars","~10,000 regulars and militia",R,V,10000,,,,,,1759
3827,Battle_of_Beauport,31 July 1759,"Beauport, Canada, New France
Coordinates: 46°53′25″N 71°08′50″W﻿ / ﻿46.890188°N 71.147268°W﻿ / 46.890188; -71.147268",French victory,James Wolfe,"~10,000 regulars and militia","4,000 regulars",L,D,4000,,,,,,1759
3828,Battle_of_Beaver_Dam_Creek,"June 26, 1862 (1862-06-26)","Hanover County, Virginia
37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599Coordinates: 37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599","Union Tactical victory;
Confederate Strategic victory.",Robert E. Lee,"15,631[1]","16,356[1]",R,D,16356,,,,,,1862
3829,Battle_of_Beaver_Dam_Creek,"June 26, 1862 (1862-06-26)","Hanover County, Virginia
37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599Coordinates: 37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599","Union Tactical victory;
Confederate Strategic victory.",George B. McClellan,"16,356[1]","15,631[1]",L,V,15631,,,,,,1862
3830,Battle_of_Beaver_Dam_Creek,"June 26, 1862 (1862-06-26)","Hanover County, Virginia
37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599Coordinates: 37°35′55″N 77°21′36″W﻿ / ﻿37.5985°N 77.3599°W﻿ / 37.5985; -77.3599","Union Tactical victory;
Confederate Strategic victory.",Fitz John Porter,"16,356[1]","15,631[1]",L,V,15631,,,,,,1862
3831,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,"Edmund Allenby, 1st Viscount Allenby","4,400 rifles, 60 machine guns, 28 field guns","47,500 rifles, 15,000 troopers",L,V,47500,15000,,,,,1917
3832,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,Harry Chauvel,"4,400 rifles, 60 machine guns, 28 field guns","47,500 rifles, 15,000 troopers",L,V,47500,15000,,,,,1917
3833,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,"Philip Chetwode, 1st Baron Chetwode","4,400 rifles, 60 machine guns, 28 field guns","47,500 rifles, 15,000 troopers",L,V,47500,15000,,,,,1917
3834,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,Friedrich Freiherr Kress von Kressenstein,"47,500 rifles, 15,000 troopers","4,400 rifles, 60 machine guns, 28 field guns",R,D,4400,,28,,,60,1917
3835,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,Fevzi Çakmak,"47,500 rifles, 15,000 troopers","4,400 rifles, 60 machine guns, 28 field guns",R,D,4400,,28,,,60,1917
3836,Battle_of_Beersheba_(1917),31-Oct-17,"Beersheba, Ottoman Syria",Egyptian Expeditionary Force victory,İsmet İnönü,"47,500 rifles, 15,000 troopers","4,400 rifles, 60 machine guns, 28 field guns",R,D,4400,,28,,,60,1917
3837,Battle_of_Beiping-Tianjin,Early July–early August 1937,Vicinity of Beiping – Tianjin,Japanese victory,Kanichiro Tashiro,"~46,000","180,000+[1]",L,V,180000,,,,,,1937
3838,Battle_of_Beiping-Tianjin,Early July–early August 1937,Vicinity of Beiping – Tianjin,Japanese victory,Kiyoshi Katsuki,"~46,000","180,000+[1]",L,V,180000,,,,,,1937
3839,Battle_of_Beiping-Tianjin,Early July–early August 1937,Vicinity of Beiping – Tianjin,Japanese victory,Song Zheyuan,"180,000+[1]","~46,000",R,D,46000,,,,,,1937
3840,Battle_of_Bekeriyah_(1904),15-Jun-04,"Qassim region, Arabia",Emirate of Ha'il epic victory,Abd al-Aziz ibn Mutib,"12,000","20,000",L,V,20000,,,,,,1904
3841,Battle_of_Bekeriyah_(1904),15-Jun-04,"Qassim region, Arabia",Emirate of Ha'il epic victory,Ibn Saud,"20,000","12,000",R,D,12000,,,,,,1904
3842,Battle_of_Belleau_Wood,1–26 June 1918,"Belleau Wood near Marne River, France
Coordinates: 49°04′23″N 3°17′24″E﻿ / ﻿49.073°N 3.290°E﻿ / 49.073; 3.290",Allied victory,John J. Pershing,5 German divisions (elements),"2 U.S. Army divisions (including 1 brigade of United States Marines)
French 6th Army (elements)
British IX Corps (elements)",L,V,1,,,,,,1918
3843,Battle_of_Belleau_Wood,1–26 June 1918,"Belleau Wood near Marne River, France
Coordinates: 49°04′23″N 3°17′24″E﻿ / ﻿49.073°N 3.290°E﻿ / 49.073; 3.290",Allied victory,James Harbord,5 German divisions (elements),"2 U.S. Army divisions (including 1 brigade of United States Marines)
French 6th Army (elements)
British IX Corps (elements)",L,V,1,,,,,,1918
3844,Battle_of_Belleau_Wood,1–26 June 1918,"Belleau Wood near Marne River, France
Coordinates: 49°04′23″N 3°17′24″E﻿ / ﻿49.073°N 3.290°E﻿ / 49.073; 3.290",Allied victory,"Wilhelm, German Crown Prince","2 U.S. Army divisions (including 1 brigade of United States Marines)
French 6th Army (elements)
British IX Corps (elements)",5 German divisions (elements),R,D,1,,,,,,1918
3845,Battle_of_Belmont,"November 7, 1861 (1861-11-07)","Mississippi County, Missouri
36°45′57″N 89°07′26″W﻿ / ﻿36.7657°N 89.1240°W﻿ / 36.7657; -89.1240Coordinates: 36°45′57″N 89°07′26″W﻿ / ﻿36.7657°N 89.1240°W﻿ / 36.7657; -89.1240",Union victory[1],Leonidas Polk,"3,114","∼ 5,000",R,D,5000,,,,,,1861
3846,Battle_of_Belmont,"November 7, 1861 (1861-11-07)","Mississippi County, Missouri
36°45′57″N 89°07′26″W﻿ / ﻿36.7657°N 89.1240°W﻿ / 36.7657; -89.1240Coordinates: 36°45′57″N 89°07′26″W﻿ / ﻿36.7657°N 89.1240°W﻿ / 36.7657; -89.1240",Union victory[1],Ulysses S. Grant,"∼ 5,000","3,114",L,V,3114,,,,,,1861
3847,Battle_of_Benburb,5 June 1646,"Benburb, County Tyrone
54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746Coordinates: 54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746",Irish Confederate victory,Robert Monro,"5,000","6,000[1]",R,D,6000,,,,,,1646
3848,Battle_of_Benburb,5 June 1646,"Benburb, County Tyrone
54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746Coordinates: 54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746",Irish Confederate victory,Owen Roe O'Neill,"6,000[1]","5,000",L,V,5000,,,,,,1646
3849,Battle_of_Bennington,"August 16, 1777","Walloomsac, Town of Hoosick, Rensselaer County, New York; about 10 miles (16 km) from Bennington, Vermont
42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444Coordinates: 42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444",Strategic American victory,John Stark,"800 (Baum)[3]
550–650 (Breymann)[4][5]","2,000 (Stark)[1]
350 (Warner)[2]",L,V,2350,,,,,,1777
3850,Battle_of_Bennington,"August 16, 1777","Walloomsac, Town of Hoosick, Rensselaer County, New York; about 10 miles (16 km) from Bennington, Vermont
42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444Coordinates: 42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444",Strategic American victory,Seth Warner,"800 (Baum)[3]
550–650 (Breymann)[4][5]","2,000 (Stark)[1]
350 (Warner)[2]",L,V,2350,,,,,,1777
3851,Battle_of_Bennington,"August 16, 1777","Walloomsac, Town of Hoosick, Rensselaer County, New York; about 10 miles (16 km) from Bennington, Vermont
42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444Coordinates: 42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444",Strategic American victory,Friedrich Baum,"2,000 (Stark)[1]
350 (Warner)[2]","800 (Baum)[3]
550–650 (Breymann)[4][5]",R,D,1400,,,,,,1777
3852,Battle_of_Bennington,"August 16, 1777","Walloomsac, Town of Hoosick, Rensselaer County, New York; about 10 miles (16 km) from Bennington, Vermont
42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444Coordinates: 42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444",Strategic American victory,Heinrich von Breymann,"2,000 (Stark)[1]
350 (Warner)[2]","800 (Baum)[3]
550–650 (Breymann)[4][5]",R,D,1400,,,,,,1777
3853,Battle_of_Bentonville,"March 19, 1865 (1865-03-19) – March 21, 1865 (1865-03-21)","Bentonville, North Carolina",Union victory,William Tecumseh Sherman,"21,900[2]","60,000[1]",L,V,60000,,,,,,1865
3854,Battle_of_Bentonville,"March 19, 1865 (1865-03-19) – March 21, 1865 (1865-03-21)","Bentonville, North Carolina",Union victory,Joseph E. Johnston,"60,000[1]","21,900[2]",R,D,21900,,,,,,1865
3855,Battle_of_Berea,20-21 December 1852,"Berea, Basutoland
29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000Coordinates: 29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000",Inconclusive,George Cathcart,Unknown,Approx. 1000 British Army troops,L,I,1000,,,,,,1852
3856,Battle_of_Berea,20-21 December 1852,"Berea, Basutoland
29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000Coordinates: 29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000",Inconclusive,Moshoeshoe I,Approx. 1000 British Army troops,Unknown,R,I,1,,,,,,1852
3857,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Bohdan Khmelnytsky,"80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie","200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs",L,D,200000,,,,,,1651
3858,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,İslâm III Giray,"80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie","200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs",L,D,200000,,,,,,1651
3859,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Tugay Bey,"80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie","200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs",L,D,200000,,,,,,1651
3860,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Ivan Bohun,"80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie","200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs",L,D,200000,,,,,,1651
3861,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,John II Casimir Vasa,"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3862,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Jeremi Wiśniowiecki,"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3863,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Mikołaj Potocki,"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3864,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Stefan Czarniecki,"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3865,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Marcin Kalinowski,"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3866,Battle_of_Berestechko,28–30 June 1651,"Berestechko, Crown of the Kingdom of Poland (today Ukraine)
50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667Coordinates: 50°21′0″N 25°7′0″E﻿ / ﻿50.35000°N 25.11667°E﻿ / 50.35000; 25.11667",Decisive Polish victory,Stanisław Lanckoroński (hetman),"200,000 total[2]
100,000 Cossacks and peasants
50,000 Crimean Tatars
Several thousands Turks, and Vlachs","80,000 total[3]
17,000 cavalry
16,000 infantry
40,000 Pospolite ruszenie",R,V,63000,17000,,,,,1651
3867,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]",Pavel Chichagov,"49,000 combatants,
40,000 stragglers.[3]","64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]",R,V,64000,,,,,,1812
3868,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]",Peter Wittgenstein,"49,000 combatants,
40,000 stragglers.[3]","64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]",R,V,64000,,,,,,1812
3869,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]",Napoleon,"64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]","49,000 combatants,
40,000 stragglers.[3]",L,D,49000,,,,,,1812
3870,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]",Nicolas Oudinot,"64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]","49,000 combatants,
40,000 stragglers.[3]",L,D,49000,,,,,,1812
3871,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]","Claude Victor-Perrin, Duc de Belluno","64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]","49,000 combatants,
40,000 stragglers.[3]",L,D,49000,,,,,,1812
3872,Battle_of_Berezina,26–29 November 1812,The Berezina river near Borisov (now Barysaw),"Russian tactical victory
French strategic victory;
French cross the river but suffer massive casualties[1][2]",Michel Ney,"64,000 combatants,
Chichagov: 34,000;
Wittgenstein: 30,000.[3]","49,000 combatants,
40,000 stragglers.[3]",L,D,49000,,,,,,1812
3873,Battle_of_Bergen_(1759),13 April 1759,"Bergen, Hesse",French victory,Duke Ferdinand of Brunswick-Wolfenbüttel,"ca 28,000 men","ca 35,000 men",L,D,35000,,,,,,1759
3874,Battle_of_Bergen_(1759),13 April 1759,"Bergen, Hesse",French victory,"Victor-François, 2nd duc de Broglie","ca 35,000 men","ca 28,000 men",R,V,28000,,,,,,1759
3875,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,"Prince Frederick, Duke of York and Albany","22,000","30,000",R,V,30000,,,,,,1799
3876,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,"Prince Frederick, Duke of York and Albany","22,000","30,000",R,D,30000,,,,,,1799
3877,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,Johann Hermann von Fersen,"22,000","30,000",R,V,30000,,,,,,1799
3878,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,Johann Hermann von Fersen,"22,000","30,000",R,D,30000,,,,,,1799
3879,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,Guillaume Brune,"30,000","22,000",L,V,22000,,,,,,1799
3880,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",French-Dutch victory,Herman Willem Daendels,"30,000","22,000",L,V,22000,,,,,,1799
3881,Battle_of_Berlin,16 April – 2 May 1945,"Berlin, Germany
52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383Coordinates: 52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383","Decisive Soviet victory

Suicide of Adolf Hitler and deaths of other high-ranking Nazi officials
Unconditional surrender of the Berlin city garrison on 2 May. German forces still fighting the battle outside Berlin capitulated on 8/9 May (following the unconditional surrender of all German forces—see End of World War II in Europe)",1st Belorussian Front,"Total strength:
36 divisions[6]
766,750 soldiers[7]
1,519 AFVs[8]
2,224 aircraft[9]
9,303 artillery pieces[7][c]
In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 Volkssturm[5][d]","Total strength:

2,500,000 soldiers (155,900 – c.200,000 Polish People's Army)[1][2]


6,250 tanks and SP guns[2]
7,500 aircraft[2]
41,600 artillery pieces.[3][4]
For the investment and assault on the Berlin Defence Area: about 1,500,000 soldiers[5]",L,V,2500000,,,,,,1945
3882,Battle_of_Berlin,16 April – 2 May 1945,"Berlin, Germany
52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383Coordinates: 52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383","Decisive Soviet victory

Suicide of Adolf Hitler and deaths of other high-ranking Nazi officials
Unconditional surrender of the Berlin city garrison on 2 May. German forces still fighting the battle outside Berlin capitulated on 8/9 May (following the unconditional surrender of all German forces—see End of World War II in Europe)",Georgy Zhukov,"Total strength:
36 divisions[6]
766,750 soldiers[7]
1,519 AFVs[8]
2,224 aircraft[9]
9,303 artillery pieces[7][c]
In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 Volkssturm[5][d]","Total strength:

2,500,000 soldiers (155,900 – c.200,000 Polish People's Army)[1][2]


6,250 tanks and SP guns[2]
7,500 aircraft[2]
41,600 artillery pieces.[3][4]
For the investment and assault on the Berlin Defence Area: about 1,500,000 soldiers[5]",L,V,2500000,,,,,,1945
3883,Battle_of_Berlin,16 April – 2 May 1945,"Berlin, Germany
52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383Coordinates: 52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383","Decisive Soviet victory

Suicide of Adolf Hitler and deaths of other high-ranking Nazi officials
Unconditional surrender of the Berlin city garrison on 2 May. German forces still fighting the battle outside Berlin capitulated on 8/9 May (following the unconditional surrender of all German forces—see End of World War II in Europe)",2nd Belorussian Front,"Total strength:
36 divisions[6]
766,750 soldiers[7]
1,519 AFVs[8]
2,224 aircraft[9]
9,303 artillery pieces[7][c]
In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 Volkssturm[5][d]","Total strength:

2,500,000 soldiers (155,900 – c.200,000 Polish People's Army)[1][2]


6,250 tanks and SP guns[2]
7,500 aircraft[2]
41,600 artillery pieces.[3][4]
For the investment and assault on the Berlin Defence Area: about 1,500,000 soldiers[5]",L,V,2500000,,,,,,1945
3884,Battle_of_Berlin,16 April – 2 May 1945,"Berlin, Germany
52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383Coordinates: 52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383","Decisive Soviet victory

Suicide of Adolf Hitler and deaths of other high-ranking Nazi officials
Unconditional surrender of the Berlin city garrison on 2 May. German forces still fighting the battle outside Berlin capitulated on 8/9 May (following the unconditional surrender of all German forces—see End of World War II in Europe)",Konstantin Rokossovsky,"Total strength:
36 divisions[6]
766,750 soldiers[7]
1,519 AFVs[8]
2,224 aircraft[9]
9,303 artillery pieces[7][c]
In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 Volkssturm[5][d]","Total strength:

2,500,000 soldiers (155,900 – c.200,000 Polish People's Army)[1][2]


6,250 tanks and SP guns[2]
7,500 aircraft[2]
41,600 artillery pieces.[3][4]
For the investment and assault on the Berlin Defence Area: about 1,500,000 soldiers[5]",L,V,2500000,,,,,,1945
