Battle Name,Description
Battle of Belgium,"The invasion of Belgium or Belgian campaign (10–28 May 1940), often referred to within Belgium as the 18 Days' Campaign (French: Campagne des 18 jours, Dutch: Achttiendaagse Veldtocht), formed part of the larger Battle of France, an offensive campaign by Germany during the Second World War. It took place over 18 days in May 1940 and ended with the German occupation of Belgium following the surrender of the Belgian Army.
On 10 May 1940, Germany invaded Luxembourg, the Netherlands, and Belgium under the operational plan Fall Gelb (Case Yellow). The Allied armies attempted to halt the German Army in Belgium, believing it to be the main German thrust. After the French had fully committed the best of the Allied armies to Belgium between 10 and 12 May, the Germans enacted the second phase of their operation, a break-through, or sickle cut, through the Ardennes, and advanced toward the English Channel. The German Army (Heer) reached the Channel after five days, encircling the Allied armies. The Germans gradually reduced the pocket of Allied forces, forcing them back to the sea. The Belgian Army surrendered on 28 May 1940, ending the battle.
The Battle of Belgium included the first tank battle of the war, the Battle of Hannut. It was the largest tank battle in history at the time but was later surpassed by the battles of the North African Campaign and the Eastern Front. The battle also included the Battle of Fort Eben-Emael, the first strategic airborne operation using paratroopers ever attempted.
The German official history stated that in the 18 days of bitter fighting, the Belgian Army were tough opponents, and spoke of the ""extraordinary bravery"" of its soldiers. The Belgian collapse forced the Allied withdrawal from continental Europe. The British Royal Navy subsequently evacuated Belgian ports during Operation Dynamo, allowing the British Expeditionary Force (BEF), along with many Belgian and French soldiers, to escape capture and continue military operations. France reached its own armistice with Germany in June 1940. Belgium was occupied by the Germans until the autumn of 1944, when it was liberated by the Western Allies."
Battle of Belleau Wood,"The Battle of Belleau Wood (1–26 June 1918) was a major battle that occurred during the German spring offensive in World War I, near the Marne River in France. The battle was fought by the U.S. 2nd (under the command of Major General Omar Bundy) and 3rd Divisions along with French and British forces against an assortment of German units including elements from the 237th, 10th, 197th, 87th, and 28th Divisions. The battle has become a key component of United States Marine Corps lore."
Battle of Benburb,"The Battle of Benburb took place on 5 June 1646 during the Irish Confederate Wars, the Irish theatre of the Wars of the Three Kingdoms. It was fought between the Irish Confederates under Owen Roe O'Neill, and an army of Scottish Covenanters and Scottish/English settlers under Robert Monro. The battle ended in a decisive victory for the Irish Confederates and ended Scottish hopes of conquering Ireland and imposing their own religious settlement there."
Battle of Benevento,"The Battle of Benevento was a major medieval battle fought on 26 February 1266, near Benevento in present-day Southern Italy, between the forces of Charles I of Anjou and those of King Manfred of Sicily. Manfred's defeat and death resulted in Charles' conquest of the Kingdom of Sicily, effectively ending the rule of the Hohenstaufen dynasty in the Italian Peninsula and marking the rise of the royal Capetian House of Anjou. The engagement was part of the conflict which pitted Guelphs against Ghibellines."
Battle of Beneventum (275 BC),"The Battle of Beneventum (275 BC) was the last battle of the Pyrrhic War. It was fought near Beneventum, in southern Italy, between the forces of Pyrrhus, king of Epirus in Greece, and the Romans, led by consul Manius Curius Dentatus. The result was a Roman victory (possibly strategic) and Pyrrhus was forced to return to Tarentum, and later to Epirus."
Battle of Benfleet,"The Battle of Benfleet was an 894 battle between the Vikings and the Anglo-Saxons commanded by Edward the Elder and Æthelred, Lord of the Mercians, the son and son-in-law of Alfred the Great respectively. The battle was part of a campaign started by the Vikings in 892 to raid and potentially occupy lands in England, having been defeated by the armies of France. As part of this campaign the invaders were supported by those Vikings who had settled in England following an earlier invasion launched in 865. The battle was a victory for the Anglo-Saxons who successfully captured a number of women and children, as well as capturing or destroying the Viking ships.
After their defeat the Vikings continued to raid England until they disbanded in 895 after being forced to abandon a series of camps. The rest of Alfred's reign was peaceful, and he was succeeded by Edward as King of Wessex in 899. In time Edward would become the ruler of Mercia, uniting the two kingdoms."
Battle of Berea,"The Battle of Berea was a battle between British forces under Sir George Cathcart and Basuto-Taung forces under King Moshoeshoe I that took place on 20 December 1852. The battle began when British forces broke into three columns and crossed the Caledon River in southern Africa, with the goal of seizing Basuto cattle as a form of punishment for past Basuto cattle raiding.
A combination of stiff Basuto resistance, poor planning and miscoordination on the side of the British forces led to far fewer cattle being seized than originally planned. The British withdrew in order to regroup after suffering relatively high casualties. However a peace agreement was reached before the resumption of hostilities. The Basuto paid limited restitution, while agreeing to halt any further cattle raids against British subjects."
Battle of Berestechko,"The Battle of Berestechko (Ukrainian: Битва під Берестечком, Polish: Bitwa pod Beresteczkiem; 28 June — 10 July, 1651) was fought between the Cossack Hetmanate and Crimean Khanate against the Polish–Lithuanian Commonwealth as a part of the Khmelnytsky Uprising. Near the site of the present-day city of Berestechko in Ukraine, a forces of the Zaporozhian Cossacks and Crimean Tatars under the command of Hetman Bohdan Khmelnytsky, Otaman Tymofiy Khmelnytsky, Colonels Ivan Bohun and Fylon Dzhalaliy with Khan İslâm III Giray and Tugay Bey, who was killed in the battle, was defeated by the Polish–Lithuanian Commonwealth’s forces under the command of the Polish King John II Casimir, Prince Jeremi Wiśniowiecki, Hetmans Marcin Kalinowski and Stanisław Lanckoroński. The battle took place in the Volhynian Voivodeship on the hilly plain south of the Styr River. The Polish–Lithuanian camp was on the Styr River opposite Berestechko and faced south, towards the Zaporozhian Cossacks about two kilometers away, whose right flank was against the Pliashivka (Pliashova) River and the Crimean Tatars on their left flank. It is considered to have been among the largest European land battles of the 17th century."
Battle of Bergen (1799),The Battle of Bergen was fought on 19 September 1799 and resulted in a Franco-Dutch victory under Generals Guillaume Brune and Herman Willem Daendels against the Russians and British under the Duke of York who had landed in North Holland. The battlefield is marked by the Russisch Monument (1902).
Battle of Berlin,"The Battle of Berlin, designated as the Berlin Strategic Offensive Operation by the Soviet Union, and also known as the Fall of Berlin, was one of the last major offensives of the European theatre of World War II.
After the Vistula–Oder offensive of January–February 1945, the Red Army had temporarily halted on a line 60 km (37 mi) east of Berlin. On 9 March, Germany established its defence plan for the city with Operation Clausewitz. The first defensive preparations at the outskirts of Berlin were made on 20 March, under the newly appointed commander of Army Group Vistula, General Gotthard Heinrici.
When the Soviet offensive resumed on 16 April, two Soviet fronts (army groups) attacked Berlin from the east and south, while a third overran German forces positioned north of Berlin. Before the main battle in Berlin commenced, the Red Army encircled the city after successful battles of the Seelow Heights and Halbe. On 20 April 1945, Hitler's birthday, the 1st Belorussian Front led by Marshal Georgy Zhukov, advancing from the east and north, started shelling Berlin's city centre, while Marshal Ivan Konev's 1st Ukrainian Front broke through Army Group Centre and advanced towards the southern suburbs of Berlin. On 23 April General Helmuth Weidling assumed command of the forces within Berlin. The garrison consisted of several depleted and disorganised Army and Waffen-SS divisions, along with poorly trained Volkssturm and Hitler Youth members. Over the course of the next week, the Red Army gradually took the entire city.
On 30 April, Hitler committed suicide. The city's garrison surrendered on 2 May but fighting continued to the north-west, west, and south-west of the city until the end of the war in Europe on 8 May (9 May in the Soviet Union) as some German units fought westward so that they could surrender to the Western Allies rather than to the Soviets."
Battle of Berlin (RAF campaign),"The Battle of Berlin (November 1943 to March 1944) was a bombing campaign against Berlin by RAF Bomber Command along with raids on other German cities to keep German defences dispersed. Air Chief Marshal Sir Arthur Harris, Air Officer Commanding-in-Chief (AOC-in-C) Bomber Command, believed that ""We can wreck Berlin from end to end if the USAAF come in with us. It will cost us between 400 and 500 aircraft. It will cost Germany the war"".
Harris could expect about 800 serviceable heavy bombers for each raid, equipped with new and sophisticated navigational devices such as H2S radar. The USAAF, having recently lost many aircraft in attacks on Schweinfurt, did not participate. The Main Force of Bomber Command attacked Berlin sixteen times but failed in its object of inflicting a decisive defeat on Germany. The Royal Air Force lost more than 7,000 aircrew and 1,047 bombers, (5.1 per cent of the sorties flown); a further 1,682 aircraft were damaged or written off. On 30 March 1944, Bomber Command attacked Nuremberg with 795 aircraft, 94 of which were shot down and 71 were damaged. The Luftwaffe I. Jagdkorps recorded the loss of 256 night fighters from November 1943 to March 1944.
The Luftwaffe retaliated with Unternehmen Steinbock (Operation Capricorn) against London and other British cities from January to May 1944. The Luftwaffe managed to assemble a force of 524 bombers but Steinbock caused little damage for the loss of 329 aircraft, a greater percentage loss per raid and overall than that suffered by Bomber Command over Germany.
There were many other air raids on Berlin by the RAF, the USAAF Eighth Air Force and Soviet bombers. The RAF was granted a battle honour for the bombardment of Berlin by aircraft of Bomber Command from 1940 to 1945."
Battle of Beverwijk,"The Battle of Beverwijk  (Dutch: ""Slag bij Beverwijk"") was a violent confrontation between two hooligan supporter groups of Dutch Association football clubs Ajax and Feyenoord, the S.C.F. Hooligans and the F-Side. The incident took place on 23 March 1997 along the A9 motorway near Beverwijk, from which its name is derived."
Battle of Biak,"The Battle of Biak was part of the Western New Guinea campaign of World War II, fought between the United States Army and the Japanese Army from 27 May to 17 August 1944. Taking place on the island of Biak, in Geelvink Bay, in present-day Indonesia, it was part of General Douglas MacArthur's South West Pacific Area's offensive drive to clear New Guinea in preparation for an invasion of the Philippines.  It was the first major effort by the Japanese to allow uncontested landings for the purpose of creating a kill zone inland. The main Allied objective was to capture the island so that they could construct airfields there. The battle resulted in the capture of the island by Allied forces, which were then used to support operations elsewhere in the Pacific."
Battle of Bicocca,"The Battle of Bicocca or La Bicocca (Italian: Battaglia della Bicocca) was fought on 27 April 1522, during the Italian War of 1521–26.  A combined French and Venetian force under Odet de Foix, Vicomte de Lautrec, was decisively defeated by an Imperial–Spanish and Papal army under the overall command of Prospero Colonna.  Lautrec then withdrew from Lombardy, leaving the Duchy of Milan in Imperial hands.
Having been driven from Milan by an Imperial advance in late 1521, Lautrec had regrouped, attempting to strike at Colonna's lines of communication.  When the Swiss mercenaries in French service did not receive their pay, however, they demanded an immediate battle, and Lautrec was forced to attack Colonna's fortified position in the park of the Arcimboldi Villa Bicocca, north of Milan.  The Swiss pikemen advanced over open fields under heavy artillery fire to assault the Imperial positions, but were halted at a sunken road backed by earthworks.  Having suffered massive casualties from the fire of Spanish arquebusiers, the Swiss retreated.  Meanwhile, an attempt by French cavalry to flank Colonna's position proved equally ineffective.  The Swiss, unwilling to fight further, marched off to their cantons a few days later, and Lautrec retreated into Venetian territory with the remnants of his army.
The battle is noted chiefly for marking the end of the Swiss dominance among the infantry of the Italian Wars, and of the Swiss method of assaults by massed columns of pikemen without support from other troops. It was also one of the first engagements in which firearms played a decisive role on the battlefield."
Battle of Bilbao,"The Battle of Bilbao, part of the War in the North in the Spanish Civil War, saw the Nationalist Army capture Bilbao and the rest of the Basque Country that was still being held by the Spanish Republic."
Battle of Bilin River,"The Battle of Bilin River was among the early major battles of the Burma Campaign in World War II. Fought between 14 and 19 February 1942, the battle was a tactical victory for Japan over the British Indian Army, and it led to a decisive victory for Japan immediately afterwards at the Battle of Sittang Bridge.
Brigadier Sir John George Smyth, V.C.—who commanded 17th Infantry Division of the British Indian Army at Bilin River—said the Bilin River ""at that time of year was only a ditch, but a good co-ordinating line"". 17th Division was, at that time, a new formation that had yet to see its first battle.
The Japanese 112th Battalion of the Southern Army entered Burma (now Myanmar) on 15 January. They took Tavoy (now Dawei) on 19 January, cutting off the garrison at Mergui (which escaped by sea). In the process, they captured three small airfields, giving them close air support. They then advanced towards Kawkareik.
Smyth wanted to withdraw immediately to better defensive terrain, but he was ordered to ""stay put""."
Battle of Binakayan-Dalahican,"The Battle of Binakayan–Dalahican (Tagalog: Labanan sa Binakayan–Dalahikan; Spanish: Batalla de Binakayan-Dalahican) was a simultaneous battle during the Philippine Revolution that was fought on November 9–11, 1896 that led to a decisive Filipino victory. The twin battle took place at the shores of Binakayan, in the town of Cavite Viejo (also called Cavite el Viejo, now Kawit); Dalahican and Dagatan in Noveleta; and, to minimal extent, in Imus and Bacoor towns in Cavite, Philippines that lasted for two days before the Spanish army retreated demoralized and in disarray. The result of the battle was the first significant Filipino victory in the country's history."
Battle of Bismarck Sea,"The Battle of the Bismarck Sea (2–4 March 1943) took place in the South West Pacific Area (SWPA) during World War II when aircraft of the U.S. Fifth Air Force and the Royal Australian Air Force (RAAF) attacked a Japanese convoy carrying troops to Lae, New Guinea. Most of the Japanese task force was destroyed, and Japanese troop losses were heavy.
The Japanese convoy was a result of a Japanese Imperial General Headquarters decision in December 1942 to reinforce their position in the South West Pacific. A plan was devised to move some 6,900 troops from Rabaul directly to Lae. The plan was understood to be risky, because Allied air power in the area was strong, but it was decided to proceed because otherwise the troops would have to be landed a considerable distance away and march through inhospitable swamp, mountain and jungle terrain without roads before reaching their destination. On 28 February 1943, the convoy – comprising eight destroyers and eight troop transports with an escort of approximately 100 fighter aircraft – set out from Simpson Harbour in Rabaul.
The Allies had detected preparations for the convoy, and naval codebreakers in Melbourne (FRUMEL) and Washington, D.C., had decrypted and translated messages indicating the convoy's intended destination and date of arrival. The Allied Air Forces had developed new techniques, such as skip bombing, that they hoped would improve the chances of successful air attack on ships. They detected and shadowed the convoy, which came under sustained air attack on 2–3 March 1943. Follow-up attacks by PT boats and aircraft were made on 4 March on life boats and rafts. All eight transports and four of the escorting destroyers were sunk. Of 6,900 troops who were badly needed in New Guinea, only about 1,200 made it to Lae. Another 2,700 were rescued by destroyers and submarines and returned to Rabaul. The Japanese made no further attempts to reinforce Lae by ship, greatly hindering their ultimately unsuccessful efforts to stop Allied offensives in New Guinea."
Battle of Bitonto,The Battle of Bitonto (25 May 1734) was a Spanish victory over Austrian forces near Bitonto in the Kingdom of Naples (in southern Italy) in the War of Polish Succession.  The battle ended organized Austrian resistance outside a small number of fortresses in the kingdom.
Battle of Blanchetaque,"The Battle of Blanchetaque was fought on 24 August 1346 between an English army under King Edward III and a French force commanded by Godemar du Fay. The battle was part of the Crécy campaign, which took place during the early stages of the Hundred Years' War. After landing in the Cotentin Peninsula on 12 July, the English army had burnt a path of destruction through some of the richest lands in France to within 20 miles (32 km) of Paris, sacking a number of towns on the way. The English then marched north, hoping to link up with an allied Flemish army which had invaded from Flanders. They were outmanoeuvred by the French king, Philip VI, who garrisoned all of the bridges and fords over the River Somme and followed the English with his own field army. The area had previously been stripped of food stocks by the French, and the English were essentially trapped.
Hearing of a ford at Blanchetaque, 10 miles (16 km) from the sea, Edward marched for it and encountered the blocking force under du Fay. Once the ebbing tide had lowered the water level, a force of English longbowmen marched partway across the ford and, standing in the water, engaged a force of mercenary crossbowmen, whose shooting they were able to suppress. A French cavalry force attempted to push back the longbowmen but were in turn attacked by English men-at-arms. After a mêlée in the river, the French were pushed back, more English troops were fed into the fight, and the French broke and fled. French casualties were reported as over half of their force, while English losses were light. Two days after Blanchetaque, the main French army under Philip was defeated at the Battle of Crécy with heavy loss of life. Edward ended the campaign by laying siege to Calais, which fell after twelve months, securing an English entrepôt into northern France which was held for two hundred years."
Battle of Blenheim,"The Battle of Blenheim (German: Zweite Schlacht bei Höchstädt; French: Bataille de Höchstädt; Dutch: Slag bij Blenheim) fought on 13 August [O.S. 2 August] 1704, was a major battle of the War of the Spanish Succession. The overwhelming Allied victory ensured the safety of Vienna from the Franco-Bavarian army, thus preventing the collapse of the reconstituted Grand Alliance.
Louis XIV of France sought to knock the Holy Roman Emperor, Leopold, out of the war by seizing Vienna, the Habsburg capital, and gain a favourable peace settlement. The dangers to Vienna were considerable: Maximilian II Emanuel, Elector of Bavaria, and Marshal Ferdinand de Marsin's forces in Bavaria threatened from the west, and Marshal Louis Joseph de Bourbon, duc de Vendôme's large army in northern Italy posed a serious danger with a potential offensive through the Brenner Pass. Vienna was also under pressure from Rákóczi's Hungarian revolt from its eastern approaches. Realising the danger, the Duke of Marlborough resolved to alleviate the peril to Vienna by marching his forces south from Bedburg to help maintain Emperor Leopold within the Grand Alliance.
A combination of deception and skilled administration – designed to conceal his true destination from friend and foe alike – enabled Marlborough to march 400 km (250 mi) unhindered from the Low Countries to the River Danube in five weeks. After securing Donauwörth on the Danube, Marlborough sought to engage Maximilian's and Marsin's army before Marshal Camille d'Hostun, duc de Tallard, could bring reinforcements through the Black Forest. The Franco-Bavarian commanders proved reluctant to fight until their numbers were deemed sufficient, and Marlborough failed in his attempts to force an engagement. When Tallard arrived to bolster Maximilian's army, and Prince Eugene of Savoy arrived with reinforcements for the Allies, the two armies finally met on the banks of the Danube in and around the small village of Blindheim, from which the English ""Blenheim"" is derived.
Blenheim was one of the battles that altered the course of the war, which until then was favouring the French and Spanish Bourbons. Although the battle did not win the war, it prevented a potentially devastating loss for the Grand Alliance and shifted the war's momentum, ending French plans of knocking Emperor Leopold out of the war. The French suffered catastrophic casualties in the battle, including their commander-in-chief, Tallard, who was taken captive to England. Before the 1704 campaign ended, the Allies had taken Landau, and the towns of Trier and Trarbach on the Moselle in preparation for the following year's campaign into France itself. This offensive never materialised, for the Grand Alliance's army had to depart the Moselle to defend Liège from a French counter-offensive. The war continued for another decade before ending in 1714."
Battle of Blood River,"The Battle of Blood River (16 December 1838) was fought on the bank of the Ncome River, in what is today KwaZulu-Natal, South Africa between 464 Voortrekkers (""Pioneers""), led by Andries Pretorius, and an estimated 25,000 to 30,000 Zulu. Estimations of casualties amounted to over 3,000 of King Dingane's soldiers dead, including two Zulu princes competing with Prince Mpande for the Zulu throne. Three Voortrekker commando members were lightly wounded, including Pretorius. 

The year 1838 was the most difficult period for the Voortrekkers from when they left the Cape Colony, till the end of the Great Trek. They faced many difficulties and much bloodshed before they found freedom and a safe homeland in their Republic of Natalia. This was only achieved after defeating the Zulu Kingdom, at the Battle of Blood River, which took place on Sunday 16 December 1838. This battle would not have taken place if the Zulu King had honoured the agreement that he had made with the Voortrekkers to live together peacefully. The Zulu king knew that they outnumbered the Voortrekkers and decided to overthrow them and that led to the Battle of Blood river.
In January 1840 Prince Mpande finally defeated King Dingane in the Battle of Maqongqe and was subsequently crowned as new king of the Zulu by his alliance partner Andries Pretorius. After these two battles, Dingane's prime minister and commander in the Battle of Blood River, General Ndlela, was strangled to death by Dingane for high treason. General Ndlela had been the personal protector of Prince Mpande, who after the Battles of Blood River and Maqongqe, became king and founder of the Zulu."
Battle of Blore Heath,"The Battle of Blore Heath took place during the English Wars of the Roses on 23 September 1459, at Blore Heath, Staffordshire. Blore Heath is a sparsely-populated area of farmland two miles east of the town of Market Drayton in Shropshire, and close to the village of Loggerheads, Staffordshire."
Battle of Borodino,"The Battle of Borodino (Russian pronunciation: [bərədʲɪˈno]) took place near the village of Borodino on 7 September [O.S. 26 August] 1812 during Napoleon's invasion of Russia. The Grande Armée won the battle against the Imperial Russian Army, but failed to gain a decisive victory and suffered tremendous losses. Napoleon fought against General Mikhail Kutuzov, whom the Emperor Alexander I of Russia had appointed to replace Barclay de Tolly on 29 August [O.S. 17 August] 1812 after the Battle of Smolensk. After the Battle of Borodino, Napoleon remained on the battlefield with his army; the Imperial Russian forces retreated in an orderly fashion southwards. Because the Imperial Russian army had severely weakened the Grande Armée, they allowed the French occupation of Moscow, using the city as bait to trap Napoleon and his men. The failure of the Grande Armée to completely destroy the Imperial Russian army, in particular Napoleon's reluctance to deploy his Imperial Guard, has been widely criticised by historians as a huge blunder, as it allowed the Imperial Russian army to continue its retreat into territory increasingly hostile to the French. Approximately a quarter of a million soldiers were involved in the battle, and it was the bloodiest single day of the Napoleonic Wars."
Battle of Borysthenes,"The Battle of Orsha (Lithuanian: Oršos mūšis), was fought on 8 September 1514, between the allied forces of the Grand Duchy of Lithuania and the Crown of the Kingdom of Poland, under the command of Lithuanian Grand Hetman Konstanty Ostrogski; and the army of the Grand Duchy of Moscow under Konyushy Ivan Chelyadnin and Kniaz Mikhail Bulgakov-Golitsa. The Battle of Orsha was part of a long series of Muscovite–Lithuanian Wars conducted by Muscovite rulers striving to gather all the former Kievan Rus' lands under their rule.
According to Rerum Moscoviticarum Commentarii by Sigismund von Herberstein, the primary source for information on the battle, the much smaller army of Lithuania–Poland (under 30,000 men) defeated a force of 80,000 Muscovite soldiers, capturing their camp and commander. These numbers and proportions have been disputed by some modern historians."
Battle of Bosworth Field,"The Battle of Bosworth or Bosworth Field ( BOZ-wərth) was the last significant battle of the Wars of the Roses, the civil war between the houses of Lancaster and York that extended across England in the latter half of the 15th century. Fought on 22 August 1485, the battle was won by an alliance of Lancastrians and disaffected Yorkists. Their leader Henry Tudor, Earl of Richmond, became the first English monarch of the Tudor dynasty by his victory and subsequent marriage to a Yorkist princess. His opponent Richard III, the last king of the House of York, was killed during the battle, the last English monarch to die in combat. Historians consider Bosworth Field to mark the end of the Plantagenet dynasty, making it one of the defining moments of English history.
Richard's reign began in 1483 when he ascended the throne after his twelve-year-old nephew, Edward V, was declared illegitimate. The boy and his younger brother Richard soon disappeared, and their fate is a mystery still today. Across the English Channel Henry Tudor, a descendant of the greatly diminished House of Lancaster, seized on Richard's difficulties and laid claim to the throne. Henry's first attempt to invade England in 1483 foundered in a storm, but his second arrived unopposed on 7 August 1485 on the southwest coast of Wales. Marching inland, Henry gathered support as he made for London. Richard hurriedly mustered his troops and intercepted Henry's army near Ambion Hill, south of the town of Market Bosworth in Leicestershire. Lord Stanley and Sir William Stanley also brought a force to the battlefield, but held back while they decided which side it would be most advantageous to support, initially lending only four knights to Henry's cause; these were: Sir Robert Tunstall, Sir John Savage (nephew of Lord Stanley), Sir Hugh Persall and Sir Humphrey Stanley. Sir John Savage was placed in command of the left flank of Henry's army.
Richard divided his army, which outnumbered Henry's, into three groups (or ""battles""). One was assigned to the Duke of Norfolk and another to the Earl of Northumberland. Henry kept most of his force together and placed it under the command of the experienced Earl of Oxford. Richard's vanguard, commanded by Norfolk, attacked but struggled against Oxford's men, and some of Norfolk's troops fled the field. Northumberland took no action when signalled to assist his king, so Richard gambled everything on a charge across the battlefield to kill Henry and end the fight. Seeing the king's knights separated from his army, the Stanleys intervened; Sir William led his men to Henry's aid, surrounding and killing Richard. After the battle, Henry was crowned king.
Henry hired chroniclers to portray his reign favourably; the Battle of Bosworth Field was popularised to represent his Tudor dynasty as the start of a new age, marking the end of the Middle Ages for England. From the 15th to the 18th centuries the battle was glamourised as a victory of good over evil, and features as the climax of William Shakespeare's play Richard III. The exact site of the battle is disputed because of the lack of conclusive data, and memorials have been erected at different locations. The Bosworth Battlefield Heritage Centre was built in 1974, on a site that has since been challenged by several scholars and historians. In October 2009, a team of researchers who had performed geological surveys and archaeological digs in the area since 2003 suggested a location two miles (3.2 km) southwest of Ambion Hill."
Battle of Boulou,"The Second Battle of Boulou (29 April to 1 May 1794) took place during the War of the Pyrenees, part of the French Revolutionary Wars. This battle saw the French Army of the Eastern Pyrenees led by General of Division (GD) Jacques François Dugommier attack the joint Spanish-Portuguese Army of Catalonia under Lieutenant General (LG) Luis Fermín de Carvajal, Conde de la Unión. Dugommier's decisive victory resulted in the French regaining nearly all the land they lost to the Kingdom of Spain in 1793.
The town of Le Boulou is on the Tech River 22 kilometres (14 mi) south of the department capital at Perpignan and north of the France–Spain border.
The spring of 1794 found the Spanish army holding a slice of French territory south of the Tech River and north of the Pyrenees. The Spanish right wing on the Mediterranean coast was separated from the center and left wing by a mountainous gap. First, Dugommier mounted a successful feint with his right wing that drew Spanish troops away from the center. Then, he launched powerful French forces into the gap. These forces circled behind the Spanish center and forced their adversaries to retreat across a difficult mountain pass. The Spanish suffered heavy losses of troops and abandoned their wagon trains and all their artillery."
Battle of Bouvines,"The Battle of Bouvines was fought on 27 July 1214 near the town of Bouvines in the County of Flanders. It was the concluding battle of the Anglo-French War of 1213–1214. Although estimates on the number of troops vary considerably among modern historians, at Bouvines, a French army commanded by King Philip Augustus routed a larger allied army led by Holy Roman Emperor Otto IV in one of the rare pitched battles of the High Middle Ages and one of the most decisive medieval engagements.
In early 1214, a coalition was assembled against King Philip Augustus of France, consisting of Otto IV, King John of England, Count Ferrand of Flanders, Count Renaud of Boulogne, Duke Henry I of Brabant, Count William I of Holland, Duke Theobald I of Lorraine, and Duke Henry III of Limburg. Its objective was to reverse the conquests made by Philip earlier in his reign.
After initial manoeuvring in late July, battle was offered near Bouvines on 27 July. The long allied column deployed slowly into battle order, leaving the allies at a disadvantage. The superior discipline and training of the French knights allowed them to carry out a series of devastating charges, shattering the Flemish knights on the allied left wing. In the centre, the allied knights and infantry under Otto enjoyed initial success, scattering the French urban infantry and nearly killing Philip. A counterattack by French knights smashed the isolated Allied infantry and Otto's entire centre division fell back. Otto fled the battle and his knightly followers were defeated by the French knights, who went on to capture the Imperial eagle standard. With the allied centre and left wing routed, only the soldiers of the right wing under Renaud of Boulogne and William de Longespee held on. They were killed, captured or driven from the field. A pursuit was not conducted as it was nearly dark.
The crushing French victory dashed English and Flemish hopes of regaining their lost territories. Having lost all credibility as emperor following the battle, Otto IV was deposed by Pope Innocent III, leading to Frederick II's accession to the Imperial throne. King John was compelled to hand over Anjou, the ancient patrimony of the Angevin kings of England, to Philip in a peace settlement. This confirmed the collapse of the Angevin Empire. The disaster at Bouvines forever altered the political situation in England, as John was so weakened that his discontented barons forced him to agree to Magna Carta in 1215. Counts Ferrand, Renaud and Longespee were captured and imprisoned. The balance of power shifted, with the popes of the 13th century increasingly seeking the support of a powerful France. Philip had achieved remarkable success in the expansion of his realm and by the end of his reign, in 1223, had not only laid the foundations for the era of Capetian pre-eminence in Europe which followed and marked much of the Late Middle Ages, but also those of the absolutism that came to define the Ancien Régime."
Battle of Boyacá,"The Battle of Boyacá (1819), also known as the Battle of Boyacá Bridge was a decisive victory by a combined army of Venezuelan and New Granadan troops along with a British Legion led by General Simon Bolivar over the III Division of the Spanish Expeditionary Army of Costa Firme commanded by Spanish Colonel José Barreiro. This victory ensured the success of Bolívar's campaign to liberate New Granada. The battle of Boyaca is considered the beginning of the independence of the north of South America, and is considered important because it led to the victories of the battle of Carabobo in Venezuela, Pichincha in Ecuador, and Junín and Ayacucho in Peru. New Granada acquired its definitive independence from the Spanish Monarchy, although fighting with royalist forces would continue for years.: 232–235 
Under the overall command of General Simon Bolivar, the Brigadier Generals Francisco de Paula Santander and José Antonio Anzoátegui led a combined patriot army of Newgranadians and Venezuelans that defeated in two hours the Spanish Royalist forces led by Spanish Colonels José María Barreiro and Francisco Jiménez who would both be captured in battle. The effective destruction of the Royalist Army led to the collapse of the Royalist Government in the capital of Santa Fe with Viceroy Juan de Samano along with other government officials fleeing the capital shortly after news had reached of the battle. 
The battle occurred 150 km from Bogotá in the Andes Mountains, in a place known as Casa de Teja, close to a bridge over the Teatinos River and 3 roads heading to Samaca, Motavita and Tunja, an area which is now part of the Boyacá Department. The site of the battelfied today is dotted with various monuments and statues that commemorate the battle."
Battle of Brandywine,"The Battle of Brandywine, also known as the Battle of Brandywine Creek, was fought between the American Continental Army of General George Washington and the British Army of General Sir William Howe on September 11, 1777, as part of the American Revolutionary War (1775–1783). The forces met near Chadds Ford, Pennsylvania. More troops fought at Brandywine than at any other battle of the American Revolution. It was also the second longest single-day battle of the war, after the Battle of Monmouth, with continuous fighting for 11 hours.
As Howe moved to take Philadelphia, then the American capital, the British forces routed the Continental Army and forced them to withdraw, first, to the City of Chester, Pennsylvania, and then northeast toward Philadelphia.
Howe's army departed from Sandy Hook, New Jersey, across New York Bay from the occupied town of New York City on the southern tip of Manhattan Island, on July 23, 1777, and landed near present-day Elkton, Maryland, at the point of the ""Head of Elk"" by the Elk River at the northern end of the Chesapeake Bay, at the southern mouth of the Susquehanna River. Marching north, the British Army brushed aside American light forces in a few skirmishes. General Washington offered battle with his army posted behind Brandywine Creek, off the Christina River. While part of his army demonstrated in front of Chadds Ford, Howe took the bulk of his troops on a long march that crossed the Brandywine far beyond Washington's right flank. Due to poor scouting, the Americans did not detect Howe's column until it reached a position in rear of their right flank. Belatedly, three divisions were shifted to block the British flanking force at Birmingham Friends Meetinghouse and School, a Quaker meeting house.
After a stiff fight, Howe's wing broke through the newly formed American right wing, which was deployed on several hills. At this point Lieutenant General Wilhelm von Knyphausen attacked Chadds Ford and crumpled the American left wing. As Washington's army streamed away in retreat, he brought up elements of General Nathanael Greene's division, which held off Howe's column long enough for his army to escape to the northeast. Polish General Casimir Pulaski defended Washington's rear, assisting in his escape. The defeat and subsequent maneuvers left Philadelphia vulnerable. The British captured it two weeks later on September 26, resulting in the city falling under British control for nine months, until June of 1778."
